coefficient_name,value,constrain
walk_transit_ASC_auto_sufficient_univ,4.084452186,F
walk_transit_ASC_no_auto_univ,14.25177947,F
walk_transit_CBD_ASC_univ,0.672,T
CTArail_ASC_work,0.633,F
Express_bus_ASC_work,0,T
Metrarail_ASC_work,0.554,F
bike_ASC_auto_deficient_work,0.481044309,F
bike_ASC_auto_sufficient_work,-2.071700312,F
bike_ASC_no_auto_work,4.635991178,F
coef_age010_trn_work,0,T
coef_age1619_da_work,0,T
coef_age16p_sr_work,0,T
coef_biketime_work,-0.0536,T
coef_density_index_work,0.0406,F
coef_dtim_work,-0.0611,F
coef_hhsize1_sr_work,-0.461,F
coef_hhsize2_sr_work,0,T
coef_inc_adj_cost_work,-0.0848,F
coef_ivt_work,-0.0188,F
coef_iwait_work,-0.036,F
coef_walktime_work,-0.0376,F
coef_xwait_work,-0.036,F
wlktrn_metra_distpen_work,-10.152,T
drvtrn_distpen_work,-10.152,T
knr_transit_ASC_auto_deficient_work,4.011693656,F
knr_transit_ASC_auto_sufficient_work,3.221829932,F
knr_transit_ASC_no_auto_work,9.564061862,F
knr_transit_CBD_ASC_work,6.64,T
pnr_transit_ASC_auto_deficient_work,4.12802047,F
pnr_transit_ASC_auto_sufficient_work,5.030811534,F
pnr_transit_ASC_no_auto_work,8.872704641,F
pnr_transit_CBD_ASC_work,6.7,T
sr2_ASC_auto_deficient_work,-0.418519071,F
sr2_ASC_auto_sufficient_work,-1.031114314,F
sr2_ASC_no_auto_work,-0.607320933,F
sr3p_ASC_auto_deficient_work,-1.000368423,F
sr3p_ASC_auto_sufficient_work,-1.621893785,F
sr3p_ASC_no_auto_work,-1.164128815,F
taxi_ASC_auto_deficient_work,-1.86474447,F
taxi_ASC_auto_sufficient_work,-3.622189407,F
taxi_ASC_no_auto_work,0.374371041,F
tnc_shared_ASC_auto_deficient_work,-2.400847798,F
tnc_shared_ASC_auto_sufficient_work,-4.828559454,F
tnc_shared_ASC_no_auto_work,1.67032662,F
tnc_single_ASC_auto_deficient_work,-1.743595669,F
tnc_single_ASC_auto_sufficient_work,-3.869653756,F
tnc_single_ASC_no_auto_work,1.320002754,F
tnc_transit_ASC_auto_deficient_work,2.341924819,F
tnc_transit_ASC_auto_sufficient_work,1.349975504,F
tnc_transit_ASC_no_auto_work,8.492921612,F
tnc_transit_CBD_ASC_work,6.64,T
walk_ASC_auto_deficient_work,4.014539741,F
walk_ASC_auto_sufficient_work,4.184656423,F
walk_ASC_no_auto_work,10.3947622,F
walk_transit_ASC_auto_deficient_work,3.146150453,F
walk_transit_ASC_auto_sufficient_work,1.178210768,F
walk_transit_ASC_no_auto_work,9.238193304,F
